"timestamp","heartrate"
1477505420000,73
1477505430000,72
1477505440000,70
1477505450000,70
1477505460000,68
1477505465000,67
1477505475000,68
1477505490000,68
1477505500000,72
1477505515000,72
1477505530000,70
1477505545000,70
1477505560000,67
1477505570000,73
1477505585000,72
1477505590000,71
1477505600000,68
1477505610000,66
1477505620000,67
1477505635000,67
1477505640000,68
1477505650000,66
1477505660000,70
1477505665000,69
1477505670000,70
1477505680000,69
1477505690000,69
1477505700000,70
1477505710000,71
1477505725000,71
1477505730000,70
1477505740000,72
1477505750000,71
1477505760000,73
1477505770000,75
1477505780000,75
1477505785000,76
1477505790000,75
1477505800000,76
1477505810000,64
1477505820000,63
1477505830000,69
1477505840000,72
1477505850000,73
1477505860000,79
1477505870000,75
1477505880000,70
1477505890000,70
1477505900000,74
1477505910000,73
1477505925000,73
1477505935000,71
1477505940000,70
1477505950000,69
1477505965000,69
1477505970000,70
1477505980000,74
1477505990000,75
1477506005000,74
1477506010000,73
1477506020000,71
1477506030000,71
1477506035000,72
1477506040000,72
1477506045000,71
1477506050000,72
1477506060000,71
1477506075000,71
1477506080000,70
1477506095000,70
1477506110000,70
1477506125000,70
1477506130000,69
1477506145000,69
1477506160000,69
1477506170000,70
1477506180000,64
1477506190000,65
1477506200000,66
1477506205000,68
1477506210000,67
1477506220000,68
1477506230000,67
1477506240000,65
1477506250000,65
1477506260000,72
1477506275000,72
1477506280000,71
1477506290000,71
1477506300000,70
1477506310000,67
1477506315000,68
1477506320000,67
1477506325000,66
1477506330000,66
1477506345000,66
1477506350000,65
1477506355000,66
1477506370000,67
1477506380000,69
1477506395000,69
1477506410000,69
1477506420000,70
1477506430000,69
1477506440000,68
1477506450000,69
1477506460000,72
1477506470000,72
1477506480000,71
1477506485000,69
1477506500000,68
1477506510000,67
1477506525000,67
1477506535000,66
1477506540000,68
1477506545000,68
1477506560000,68
1477506575000,69
1477506585000,70
1477506590000,69
1477506605000,69
1477506620000,67
1477506635000,67
1477506640000,66
1477506645000,65
1477506650000,64
1477506660000,65
1477506670000,62
1477506685000,62
1477506690000,64
1477506700000,67
1477506705000,68
1477506720000,68
1477506730000,67
1477506745000,68
1477506750000,69
1477506755000,71
1477506760000,70
1477506765000,69
1477506770000,68
1477506785000,68
1477506790000,69
1477506795000,73
1477506800000,76
1477506805000,77
1477506810000,76
1477506825000,77
1477506835000,79
1477506845000,80
1477506850000,82
1477506865000,85
1477506870000,85
1477506875000,87
1477506880000,88
1477506885000,89
1477506890000,90
1477506900000,91
1477506905000,90
1477506910000,92
1477506915000,90
1477506920000,86
1477506930000,83
1477506935000,79
1477506940000,78
1477506950000,79
1477506955000,77
1477506960000,78
1477506970000,80
1477506975000,80
1477506980000,81
1477506985000,84
1477506990000,80
1477506995000,76
1477507000000,73
1477507005000,74
1477507010000,72
1477507015000,74
1477507020000,76
1477507025000,78
1477507030000,76
1477507035000,79
1477507040000,77
1477507045000,81
1477507050000,84
1477507055000,85
1477507060000,86
1477507065000,89
1477507070000,92
1477507075000,93
1477507080000,94
1477507090000,98
1477507095000,102
1477507105000,103
1477507110000,102
1477507120000,97
1477507130000,99
1477507135000,99
1477507140000,98
1477507145000,100
1477507150000,104
1477507155000,109
1477507165000,110
1477507175000,113
1477507180000,121
1477507185000,120
1477507190000,121
1477507195000,123
1477507200000,120
1477507215000,119
1477507230000,118
1477507235000,116
1477507240000,113
1477507250000,112
1477507255000,111
1477507265000,114
1477507270000,116
1477507275000,114
1477507290000,109
1477507295000,103
1477507300000,100
1477507305000,96
1477507315000,93
1477507320000,88
1477507325000,84
1477507330000,79
1477507340000,75
1477507350000,79
1477507355000,80
1477507360000,77
1477507365000,73
1477507370000,72
1477507375000,72
1477507385000,69
1477507390000,68
1477507405000,68
1477507420000,68
1477507435000,69
1477507450000,69
1477507460000,68
1477507470000,67
1477507480000,65
1477507490000,66
1477507500000,60
1477507510000,61
1477507520000,59
1477507530000,60
1477507540000,58
1477507550000,76
1477507560000,75
1477507565000,73
